Gloss,Count
TYPEN,47
HOND-A,46
OUD-B,46
PB,46
HART-BONST-A,46
OUDERS-B,46
AUTORIJDEN,46
BOT,46
OOR,46
VAN-B,46
ROLSTOEL-C,45
OEFENEN-A,45
COMPUTER-A,45
OPSTUREN-B,45
STAAN-F,45
BEETJE,44
PRATEN-C,44
GROOT-HORIZONTAAL-C,44
VINDEN-B,44
LANG-A,44
ALLES-B,44
RICHTING,43
INFORMEREN:1,43
TEGEN-A,43
BEER-B,43
KLEIN-VERTICAAL-A,43
GEBOUW-C,43
LICHAAM-B,42
HANDEN-WRIJVEN-B,42
HOUDEN-VAN,42
MERKEN-A,42
ERG-B,42
NIKS-B,42
TE-MAKEN-MET,42
GOOIEN-A,41
MENS.PL,41
TEST,41
DING.PL,41
BELANGRIJK-B,41
LOPEN-C,41
HOEFT-NIET-A,41
RAAM-A,41
BE+4RO,41
VOS-A,41
DAG,40
VOOR-C,40
WEG-D,40
WOORD-B,40
ZWAAR-A,40
VASTHOUDEN-H,39
PT-Bhand,39
OP-B,38
NAAMGEBAAR,38
ONDERSTEUNEN,38
PERFECT-A,38
ST-MICHIELSGESTEL,38
NOG-A,38
IS-A,38
CENTRUM,38
SCHRIKKEN-A,37
BOOS-A,37
RENNEN-A,37
PASSEN,37
VERTICALE-CYLINDER-A,37
OUDERS-A,37
KLEREN-B,36
JONGEN-A,36
DEEL-A,36
DORP,36
KLOPT-C,36
TWEETALIG,36
IEDEREEN-A,36
SCHOOL-B,36
PT-arc,36
LACHEN-A,35
WACHTEN-A,35
ROEPEN-B,35
ZIEK-B,35
BOEK,35
DANSEN-B,35
MUZIEK,35
BE+0,35
BELANGRIJK-A,35
HANDEN-WRIJVEN-A,35
LIJN-A,35
IDENTITEIT,35
TRAM-A,35
ROEPEN:1,34
VER,34
VROEGER-B,34
HALLO,34
ZITTEN-A,34
IETS-A,34
DOKTER-A,34
APART-C,34
BEDOELEN-IK,34
GROOT-HORIZONTAAL-D,34
FEEST-A,34
ALLEEN-A,33
GEVEN-B,33
GELIJK-HEBBEN,33
DOM-A,33
BRUS-A,33
OPEN-A,33
BEDENKEN,33
ALLEMAAL-B,33
HEBBEN-C,33
GELOVEN-A,32
AFHANKELIJK-A,32
KLIMMEN-A,32
VERSPREIDEN-B,32
VOGELKOOI-A,32
INTERNET-A,32
SCHRIKKEN-B,31
VAAK,31
ENZOVOORTS-B,31
LICHAAM-A,31
INTERNATIONAAL,31
VLEES-A,31
STEL-B,31
HALF-A,31
HAAS-A,31
SCHAAP-A,31
BIJ-D,30
GISTEREN,30
VERZOEKEN,30
100-A,30
GENOEG,30
OMGAAN-A,30
WATER-A,30
KLEIN-HORIZONTAAL-B,30
STIL-A,29
VECHTEN,29
ONTWIKKELEN-B,29
PASSIEF,29
ZORGEN-A,29
FILMEN-A,29
EINDELIJK-A,29
ZWEMMEN-A,29
HOE-C,29
ZIN,29
DOOD-A,29
MISSCHIEN-B,29
ALS-A,29
OP-A,29
ZO-B,29
PRATEN-E,28
2.ORD,28
AMERIKA,28
HALEN-A,28
ONDERZOEKEN,28
LOSLATEN,28
VAARDIG,28
NAAM-A,28
DOOR-B,28
IJSBEREN,28
SLECHTHOREND-A,28
KOFFER,27
LASTIG-A,27
ENZOVOORTS-C,27
NIEUWSGIERIG,27
OUD-D,27
SLAAN-C,27
GROOT-VERTICAAL-C,27
VERSPREIDEN-A,27
OPSTUREN-A,26
AF-A,26
VARIATIE,26
BE+1,26
TELEFOON-A,26
SLEUTEL,26
STROOMSCHOK-KRIJGEN,26
SCHOMMELEN,26
TWEEEN-C,25
SORRY-D,25
KLOPT-D,25
LANGZAAM,25
GEVEN-A,25
GESCHIEDENIS-A,25
ARMEN-OVER-ELKAAR,25
NAAST,25
BABY,25
WEGGAAN-B,25
LAND-A,25
LOPEN-H,25
WILLEN-NIET,24
TREIN,24
OUDER-A,24
SLAAN-A,24
INTERNAAT-B,24
ENGELAND-A,24
DOORGAAN,24
PERSOONLIJK,24
ENE-KANT-ANDERE-KANT-A,24
DENKEN,24
ZO-A,24
DRAW_1,24
GEBAREN-B,24
BETALEN,24
GEVEN-C,24
WEEKEND-A,24
LUI,24
AFHANKELIJK-D,24
BEWUST,24
GRAAG-B,23
VLUCHTEN,23
WEG-E,23
CLUB-A,23
VERANDEREN-E,23
PERIODE-A,23
NIVEAU,23
VORM-A,23
WAKKER,23
UITLEGGEN,23
BUITEN-A,23
NADENKEN-B,23
OMA-B,23
KUNNEN-NIET-B,23
VAN-TOT-A,23
POES-B,23
BE+B,23
STAAN-D,22
VERVELEN-A,22
BUITENLAND,22
BEDANKEN-A,22
PRATEN-D,22
HOOG,22
VREEMD-B,22
DUITSLAND-A,22
OVER-C,22
VADER-A,22
VERWARD-A,22
LEZEN,22
GROMMEN,22
OPPERVLAK,22
MOE-A,22
OPRICHTEN,22
BE+5R,22
FILM,22
ROLSTOEL-A,22
VOETBALLEN-B,22
ENZOVOORTS-D,22
JAAR-A,22
VOETBALLEN-A,22
NA-B,21
JAMMER-B,21
DOOR-ELKAAR-B,21
PAS-B,21
LIEF-B,21
ZELFDE-C,21
WILLEN-B,21
MEER-C,21
HORIZONTALE-RECHTHOEK,21
NOG-B,21
HIJGEN,21
BOS-A,21
VOORDEEL-A,21
GEHANDICAPT-C,21
FEEST-B,21
KLAP,21
LIJKEN-OP,21
HOPEN-B,21
MANIER-A,21
PERSOON-A.PL,21
HEBBEN-B,21
ORAAL-B,20
ONDER,20
GELUID,20
WEGGOOIEN-A,20
PAARD-B,20
SNUFFELEN-C,20
MIDDEN,20
AANBIEDEN-C,20
TEGEN-AAN-LOPEN-A,20
IMPLANTEREN,20
STANDAARDISATIE-A,20
INTERESSANT,20
DRAW_5,20
10-B,20
BE+4,20
EVEN-DENKEN-B,20
AFHANKELIJK-B,20
MEE-EENS-B,20
BRENGEN,20
TELHAND,20
VERBAASD-B,20
GEZICHT-A,20
