Id,Gloss,start_ms,end_ms,EAF,Participant,Signer,SourceVideo,SampleVideo
263,WG-3,148912,149549,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_263.mp4
265,WG-3,150090,150433,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_265.mp4
268,GEBAREN-B,151284,151498,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_268.mp4
269,VEEL-C,151504,151742,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_269.mp4
273,VOORBEELD-C,153157,153513,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_273.mp4
274,WG-3,153576,153991,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_274.mp4
276,WG-3,156044,156778,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_276.mp4
277,WG-3,156800,157091,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_277.mp4
278,HEBBEN-A,157103,157421,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_278.mp4
281,GEBAREN-B,157877,158136,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_281.mp4
282,C_ 6,158153,160022,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_282.mp4
283,WG-6,160034,160847,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_283.mp4
284,DOOR-B,161137,161387,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_284.mp4
287,VEEL-A,162314,162608,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_287.mp4
288,WG-3,162625,163044,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_288.mp4
289,VROEGER-B,163535,163909,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_289.mp4
292,NAAR-A,164756,164864,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_292.mp4
296,WG-3,166912,167075,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_296.mp4
300,WG-3,168376,168614,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_300.mp4
302,WG-3,170064,172161,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_302.mp4
305,WG-3,174670,175189,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_305.mp4
307,VROEGER-B,175808,176068,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_307.mp4
308,VEEL-C,176086,176390,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_308.mp4
316,AF-A,180003,180397,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_316.mp4
318,VERANDEREN-A,180587,181165,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_318.mp4
319,AF-A,181176,181577,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_319.mp4
321,VERANDEREN-A,182172,182598,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_321.mp4
322,WG-3,182611,183061,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_322.mp4
324,WG-3,184162,184646,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_324.mp4
327,VROEGER-B,185975,186324,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_327.mp4
329,PERSOON-B,187830,188099,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_329.mp4
334,AF-A,189892,190003,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_334.mp4
336,WG-3,190431,190653,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_336.mp4
339,AF-A,192026,192151,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_339.mp4
341,GEBAREN-B,192563,192850,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_341.mp4
342,AF-A,192861,193096,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_342.mp4
345,GEBAREN-B,193684,194161,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_345.mp4
347,ZIEN-B,194933,195057,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_347.mp4
348,WG-6,195065,195373,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_348.mp4
349,GEBAREN-B,195387,195629,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_349.mp4
351,DAN-A,195888,196013,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_351.mp4
352,WG-1,196024,196110,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_352.mp4
353,WETEN-A,196123,196272,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_353.mp4
354,WIE-A,196293,196473,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_354.mp4
355,BETEKENEN-A,196483,196677,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_355.mp4
356,WIE-A,196694,196864,CVGT_01/CVGT_0102.eaf,i001,i2,CVGT_01/CVGT_0102_i001.mp4,CVGT_0102.eaf_356.mp4
