Id,Gloss,start_ms,end_ms,Participant,SourceVideo,SampleVideo,subset
48,WG-1,38838,39614,i002,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_48.mp4,train
51,GEBAREN-B,40412,40735,i002,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_51.mp4,train
52,WG-1,40749,40927,i002,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_52.mp4,train
54,HE-A,49203,49517,i002,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_54.mp4,train
55,WG,49523,49752,i002,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_55.mp4,train
56,ALS-WANG,49791,49953,i002,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_56.mp4,train
58,WG-1,50598,50727,i002,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_58.mp4,train
62,KOMEN-A,54374,54898,i002,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_62.mp4,train
69,WG,58513,58781,i002,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_69.mp4,train
70,IN-A,58790,58996,i002,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_70.mp4,train
71,SCHOOL-A,59007,59296,i002,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_71.mp4,train
74,ALTIJD-A,60304,60521,i002,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_74.mp4,train
78,PERSOON-B,62235,62636,i002,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_78.mp4,train
80,DOOR-B,63147,63296,i002,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_80.mp4,train
81,BEWAKEN-A,63299,64695,i002,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_81.mp4,train
86,GEBAREN-B,67083,67281,i002,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_86.mp4,train
87,VERWIJZEN-A,67292,67403,i002,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_87.mp4,train
89,GEBAREN-B,67906,68232,i002,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_89.mp4,train
96,WG-3,129214,129892,i002,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_96.mp4,train
100,HEBBEN-A,132099,132738,i002,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_100.mp4,train
106,NU-C,137280,137529,i002,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_106.mp4,train
107,HEBBEN-A,137537,137811,i002,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_107.mp4,train
108,ZEGGEN-A,137825,138053,i002,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_108.mp4,train
110,WG-1,138433,138605,i002,CVGT_01/CVGT_0102_i002.mp4,CVGT_0102.eaf_110.mp4,train
529,KUNNEN-NIET-A,32463,32666,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_529.mp4,train
530,ONTHOUDEN-A,32770,32980,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_530.mp4,train
531,KUNNEN-NIET-A,33081,33308,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_531.mp4,train
533,GOED-A,35513,36086,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_533.mp4,train
534,MISSCHIEN-A,37256,37478,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_534.mp4,train
535,C_ 1,40471,40576,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_535.mp4,train
536,MAN-B0WANG,40848,41050,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_536.mp4,train
538,SWEEP,41683,41858,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_538.mp4,train
539,C_ 1,42011,42111,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_539.mp4,train
540,MAN-B0WANG,42249,42333,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_540.mp4,train
541,WG-3,42390,42448,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_541.mp4,train
547,STRAAT-BHANDEN,45810,46132,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_547.mp4,train
550,MAN-B0WANG,47333,47462,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_550.mp4,train
553,GELD-A,50125,50244,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_553.mp4,train
554,OPMERKEN-GOC,50771,51014,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_554.mp4,train
555,WG,51059,51119,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_555.mp4,train
559,AF-A,53735,53821,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_559.mp4,train
566,NAAR-A,57173,57252,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_566.mp4,train
575,AF-A,63109,63384,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_575.mp4,train
576,HEBBEN-A,63492,63739,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_576.mp4,train
578,GOED-A,64327,64878,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_578.mp4,train
580,WG,66742,66835,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_580.mp4,train
581,NU-A,66863,66931,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_581.mp4,train
582,OP-A,67054,67266,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_582.mp4,train
583,AUTO-RIJDEN-A,67487,68633,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_583.mp4,train
584,GEEL-YHAND,68789,68948,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_584.mp4,train
585,AUTO-RIJDEN-A,69019,69250,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_585.mp4,train
586,GEEL-YHAND,69273,69385,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_586.mp4,train
589,ZITTEN-A,70134,70358,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_589.mp4,train
591,C_ 1,71747,71820,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_591.mp4,train
593,JONGEN-A,72318,72416,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_593.mp4,train
596,ROOD-A,73735,73844,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_596.mp4,train
597,AUTO-RIJDEN-A,74011,74193,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_597.mp4,train
598,C_ 2,74312,74454,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_598.mp4,train
599,TER-PLAATSE-YHAND,74582,74772,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_599.mp4,train
600,BEWAKEN-A,74879,75083,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_600.mp4,train
602,DAN-A,76046,76128,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_602.mp4,train
603,VOLGEN-A,76192,76334,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_603.mp4,train
605,IN-A,77653,77729,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_605.mp4,train
611,OPMERKEN-GOC,81710,82056,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_611.mp4,train
612,WG,82102,82206,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_612.mp4,train
613,TANKEN-A,82240,82530,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_613.mp4,train
614,VERDWIJNEN-A,82712,83152,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_614.mp4,train
616,TANKEN-A,84312,84988,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_616.mp4,train
618,MAN-B0WANG,85525,85672,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_618.mp4,train
620,WG-3,86353,86522,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_620.mp4,train
621,MAN-B0WANG,86603,86787,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_621.mp4,train
622,MOETEN-A,86955,87074,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_622.mp4,train
623,WG-1,87135,87224,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_623.mp4,train
624,WC-DUIM,87420,88347,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_624.mp4,train
625,ENVELOPPE-BOPB,88651,89097,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_625.mp4,train
627,AUTO-RIJDEN-A,89774,90131,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_627.mp4,train
628,WC-DUIM,90901,91022,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_628.mp4,train
629,NAAR-A,91129,91898,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_629.mp4,train
630,C_ 2,91995,92122,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_630.mp4,train
631,MAN-B0WANG,92205,92285,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_631.mp4,train
632,ROOD-A,92346,92474,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_632.mp4,train
633,AUTO-RIJDEN-A,92500,92580,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_633.mp4,train
637,NAAR-A,94658,94740,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_637.mp4,train
638,WC-DUIM,94867,95116,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_638.mp4,train
639,SCHIETEN-A,95264,95650,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_639.mp4,train
640,DOOD-BOPBHAND,95841,96132,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_640.mp4,train
641,AF-A,96408,96678,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_641.mp4,train
643,HEBBEN-A,98013,98466,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_643.mp4,train
647,IN-A,100103,100263,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_647.mp4,train
648,VERDWIJNEN-A,100305,100437,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_648.mp4,train
649,NIETS-A,100489,100918,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_649.mp4,train
650,NAAR-A,101632,101889,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_650.mp4,train
651,GEEL-YHAND,101966,102177,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_651.mp4,train
652,AUTO-RIJDEN-A,102207,102643,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_652.mp4,train
653,LOPEN-A,102727,103191,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_653.mp4,train
654,MAN-B0WANG,103426,103678,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_654.mp4,train
657,WEGLOPEN-A,105149,105446,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_657.mp4,train
659,ROOD-A,106461,106542,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_659.mp4,train
660,AUTO-RIJDEN-A,106606,106684,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_660.mp4,train
661,VOLGEN-A,106817,106953,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_661.mp4,train
664,STRAAT-BHANDEN,109696,109904,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_664.mp4,train
668,ROOD-A,112392,112516,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_668.mp4,train
669,AUTO-RIJDEN-A,112521,112569,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_669.mp4,train
670,DENKEN-A,112694,112847,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_670.mp4,train
671,OP-A,112885,112961,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_671.mp4,train
672,NIET-A,113070,113108,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_672.mp4,train
674,AF-A,114692,114772,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_674.mp4,train
675,WG-3,115060,115165,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_675.mp4,train
677,NAAR-A,116272,116438,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_677.mp4,train
678,WG-3,116886,116983,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_678.mp4,train
679,MAN-B0WANG,117156,117306,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_679.mp4,train
683,MAN-B0WANG,119370,119479,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_683.mp4,train
687,TELEFOON-YHAND,121303,122093,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_687.mp4,train
688,DOOD-BOPBHAND,122801,123064,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_688.mp4,train
689,VALLEN-A,123163,123735,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_689.mp4,train
690,AF-A,124085,124477,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_690.mp4,train
691,C_ 1,124786,124937,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_691.mp4,train
692,MAN-B0WANG,125017,125143,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_692.mp4,train
693,VOLGEN-A,125259,125493,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_693.mp4,train
695,C_ 1,125718,125810,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_695.mp4,train
696,VLUCHTEN-VHAND,125962,126228,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_696.mp4,train
697,HEBBEN-A,126330,126443,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_697.mp4,train
698,SCHIETEN-A,126546,126961,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_698.mp4,train
701,ENVELOPPE-BOPB,128202,128452,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_701.mp4,train
704,TERUG-A,130560,130777,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_704.mp4,train
705,NAAR-A,130812,130887,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_705.mp4,train
708,C_ 2,132248,132297,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_708.mp4,train
713,ZIEN-A,133733,133817,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_713.mp4,train
714,NAAR-A,133932,133992,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_714.mp4,train
715,WAT-A,134014,134133,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_715.mp4,train
718,C_ 2,135961,136043,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_718.mp4,train
719,VOETBAL-A,136265,136372,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_719.mp4,train
721,KLEDEN-5HANDEN,138554,138653,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_721.mp4,train
724,KLEDEN-5HANDEN,139304,139440,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_724.mp4,train
726,KLEDEN-5HANDEN,139967,140104,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_726.mp4,train
727,NAAR-A,140196,140397,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_727.mp4,train
728,VOETBAL-A,140670,140959,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_728.mp4,train
731,VERWIJZEN-A,150443,150529,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_731.mp4,train
733,NIET-A,151262,151324,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_733.mp4,train
734,WACHTEN-A,151385,151514,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_734.mp4,train
736,NIET-A,152051,152133,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_736.mp4,train
737,WACHTEN-A,152230,152355,i002,CVGT_01/CVGT_0105_i002.mp4,CVGT_0105.eaf_737.mp4,train
738,MAAR-A,63540,63872,i002,CVGT_01/CVGT_0106_i002.mp4,CVGT_0106.eaf_738.mp4,train
739,BLIJVEN-A,63980,64069,i002,CVGT_01/CVGT_0106_i002.mp4,CVGT_0106.eaf_739.mp4,train
743,SWEEP,65219,65641,i002,CVGT_01/CVGT_0106_i002.mp4,CVGT_0106.eaf_743.mp4,train
745,KIJKEN-B ,115680,115873,i002,CVGT_01/CVGT_0106_i002.mp4,CVGT_0106.eaf_745.mp4,train
746,GOED-A,116042,116559,i002,CVGT_01/CVGT_0106_i002.mp4,CVGT_0106.eaf_746.mp4,train
747,WG-1,118458,118553,i002,CVGT_01/CVGT_0106_i002.mp4,CVGT_0106.eaf_747.mp4,train
748,HALEN-A,118581,118786,i002,CVGT_01/CVGT_0106_i002.mp4,CVGT_0106.eaf_748.mp4,train
749,SCHIETEN-A,118901,119373,i002,CVGT_01/CVGT_0106_i002.mp4,CVGT_0106.eaf_749.mp4,train
751,WG-1,119655,119813,i002,CVGT_01/CVGT_0106_i002.mp4,CVGT_0106.eaf_751.mp4,train
753,WG-2,121698,121983,i002,CVGT_01/CVGT_0106_i002.mp4,CVGT_0106.eaf_753.mp4,train
755,HEBBEN-A,123641,123836,i002,CVGT_01/CVGT_0106_i002.mp4,CVGT_0106.eaf_755.mp4,train
756,AVOND-D,124244,124628,i002,CVGT_01/CVGT_0106_i002.mp4,CVGT_0106.eaf_756.mp4,train
758,OM-ACHT-UUR,125300,125717,i002,CVGT_01/CVGT_0106_i002.mp4,CVGT_0106.eaf_758.mp4,train
759,VOETBAL-A,125795,126035,i002,CVGT_01/CVGT_0106_i002.mp4,CVGT_0106.eaf_759.mp4,train
760,ALTIJD-A,126057,126184,i002,CVGT_01/CVGT_0106_i002.mp4,CVGT_0106.eaf_760.mp4,train
761,OM-ACHT-UUR,126275,127520,i002,CVGT_01/CVGT_0106_i002.mp4,CVGT_0106.eaf_761.mp4,train
762,WAT-A,127922,128022,i002,CVGT_01/CVGT_0106_i002.mp4,CVGT_0106.eaf_762.mp4,train
766,SWEEP,129344,129589,i002,CVGT_01/CVGT_0106_i002.mp4,CVGT_0106.eaf_766.mp4,train
770,ZONDAG-A,133521,134740,i002,CVGT_01/CVGT_0106_i002.mp4,CVGT_0106.eaf_770.mp4,train
772,HEBBEN-A,135676,135826,i002,CVGT_01/CVGT_0106_i002.mp4,CVGT_0106.eaf_772.mp4,train
773,ZONDAG-A,135882,136069,i002,CVGT_01/CVGT_0106_i002.mp4,CVGT_0106.eaf_773.mp4,train
774,AVOND-D,136138,136375,i002,CVGT_01/CVGT_0106_i002.mp4,CVGT_0106.eaf_774.mp4,train
776,TEGEN-A,137320,137848,i002,CVGT_01/CVGT_0106_i002.mp4,CVGT_0106.eaf_776.mp4,train
778,HEBBEN-A,139440,139598,i002,CVGT_01/CVGT_0106_i002.mp4,CVGT_0106.eaf_778.mp4,train
779,KIJKEN-B ,139716,139988,i002,CVGT_01/CVGT_0106_i002.mp4,CVGT_0106.eaf_779.mp4,train
780,WG-1,140139,140268,i002,CVGT_01/CVGT_0106_i002.mp4,CVGT_0106.eaf_780.mp4,train
781,KUNNEN-A,140360,140730,i002,CVGT_01/CVGT_0106_i002.mp4,CVGT_0106.eaf_781.mp4,train
782,ZONDAG-A,140882,141201,i002,CVGT_01/CVGT_0106_i002.mp4,CVGT_0106.eaf_782.mp4,train
783,AVOND-D,141283,141776,i002,CVGT_01/CVGT_0106_i002.mp4,CVGT_0106.eaf_783.mp4,train
784,OM-ACHT-UUR,142138,144031,i002,CVGT_01/CVGT_0106_i002.mp4,CVGT_0106.eaf_784.mp4,train
785,WG-2,146940,147061,i002,CVGT_01/CVGT_0106_i002.mp4,CVGT_0106.eaf_785.mp4,train
787,GOED-A,147239,147603,i002,CVGT_01/CVGT_0106_i002.mp4,CVGT_0106.eaf_787.mp4,train
788,OK-A,147679,147883,i002,CVGT_01/CVGT_0106_i002.mp4,CVGT_0106.eaf_788.mp4,train
789,WIE-A,148595,148754,i002,CVGT_01/CVGT_0106_i002.mp4,CVGT_0106.eaf_789.mp4,train
792,WG-1,149801,149955,i002,CVGT_01/CVGT_0106_i002.mp4,CVGT_0106.eaf_792.mp4,train
793,KUNNEN-A,150079,150280,i002,CVGT_01/CVGT_0106_i002.mp4,CVGT_0106.eaf_793.mp4,train
794,VRIJ-A,150315,150716,i002,CVGT_01/CVGT_0106_i002.mp4,CVGT_0106.eaf_794.mp4,train
795,WG-1,150781,150907,i002,CVGT_01/CVGT_0106_i002.mp4,CVGT_0106.eaf_795.mp4,train
797,WOENSDAG-B,151381,151853,i002,CVGT_01/CVGT_0106_i002.mp4,CVGT_0106.eaf_797.mp4,train
798,AVOND-D,151904,152218,i002,CVGT_01/CVGT_0106_i002.mp4,CVGT_0106.eaf_798.mp4,train
800,AF-A,153000,153242,i002,CVGT_01/CVGT_0106_i002.mp4,CVGT_0106.eaf_800.mp4,train
802,KUNNEN-A,153635,153930,i002,CVGT_01/CVGT_0106_i002.mp4,CVGT_0106.eaf_802.mp4,train
803,WG-1,154019,155024,i002,CVGT_01/CVGT_0106_i002.mp4,CVGT_0106.eaf_803.mp4,train
805,WG-2,155336,155473,i002,CVGT_01/CVGT_0106_i002.mp4,CVGT_0106.eaf_805.mp4,train
808,ZONDAG-A,164938,165093,i002,CVGT_01/CVGT_0106_i002.mp4,CVGT_0106.eaf_808.mp4,train
810,OM-ACHT-UUR,165877,166120,i002,CVGT_01/CVGT_0106_i002.mp4,CVGT_0106.eaf_810.mp4,train
811,AVOND-D,166182,166498,i002,CVGT_01/CVGT_0106_i002.mp4,CVGT_0106.eaf_811.mp4,train
812,GOED-A,168042,168377,i002,CVGT_01/CVGT_0106_i002.mp4,CVGT_0106.eaf_812.mp4,train
813,ZIEN-B,172239,172304,i002,CVGT_01/CVGT_0106_i002.mp4,CVGT_0106.eaf_813.mp4,train
814,WG-3,172338,172552,i002,CVGT_01/CVGT_0106_i002.mp4,CVGT_0106.eaf_814.mp4,train
815,FOUT-A,172776,173040,i002,CVGT_01/CVGT_0106_i002.mp4,CVGT_0106.eaf_815.mp4,train
819,WG-3,180343,180965,i002,CVGT_01/CVGT_0106_i002.mp4,CVGT_0106.eaf_819.mp4,train
821,GOED-A,183021,183350,i002,CVGT_01/CVGT_0106_i002.mp4,CVGT_0106.eaf_821.mp4,train
825,TEGEN-A,185243,185351,i002,CVGT_01/CVGT_0106_i002.mp4,CVGT_0106.eaf_825.mp4,train
827,MOETEN-A,188299,188593,i002,CVGT_01/CVGT_0106_i002.mp4,CVGT_0106.eaf_827.mp4,train
829,NAAR-A,189002,189163,i002,CVGT_01/CVGT_0106_i002.mp4,CVGT_0106.eaf_829.mp4,train
830,AUTO-A,189258,189480,i002,CVGT_01/CVGT_0106_i002.mp4,CVGT_0106.eaf_830.mp4,train
831,WG-1,189518,189686,i002,CVGT_01/CVGT_0106_i002.mp4,CVGT_0106.eaf_831.mp4,train
832,AUTO-A,189761,189988,i002,CVGT_01/CVGT_0106_i002.mp4,CVGT_0106.eaf_832.mp4,train
833,NAAR-A,190141,190328,i002,CVGT_01/CVGT_0106_i002.mp4,CVGT_0106.eaf_833.mp4,train
835,NAAR-A,191077,191423,i002,CVGT_01/CVGT_0106_i002.mp4,CVGT_0106.eaf_835.mp4,train
836,WG-1,191560,192431,i002,CVGT_01/CVGT_0106_i002.mp4,CVGT_0106.eaf_836.mp4,train
837,WG-2,192817,193010,i002,CVGT_01/CVGT_0106_i002.mp4,CVGT_0106.eaf_837.mp4,train
839,AF-A,193900,194322,i002,CVGT_01/CVGT_0106_i002.mp4,CVGT_0106.eaf_839.mp4,train
840,WG-3,194379,194709,i002,CVGT_01/CVGT_0106_i002.mp4,CVGT_0106.eaf_840.mp4,train
842,AF-A,195279,195554,i002,CVGT_01/CVGT_0106_i002.mp4,CVGT_0106.eaf_842.mp4,train
848,WG-2,202520,202660,i002,CVGT_01/CVGT_0106_i002.mp4,CVGT_0106.eaf_848.mp4,train
