Id,Gloss,start_ms,end_ms,EAF,Participant,SourceVideo,SampleVideo
53,PELUQUERA,39160,39920,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_53.mp4
55,MADRE-2,40900,41190,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_55.mp4
58,APRENDER,42500,43050,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_58.mp4
63,IX1,46060,46280,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_63.mp4
64,TRABAJO,46310,46710,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_64.mp4
65,OTRO-2d,46760,47400,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_65.mp4
67,TRABAJO,48310,48630,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_67.mp4
68,OTRO-2d,48660,49160,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_68.mp4
70,IXloc ,50080,50250,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_70.mp4
71,NO,50535,50625,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_71.mp4
72,SORDA,50650,50970,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_72.mp4
73,IX2,51000,51120,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_73.mp4
74,NO,51160,51750,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_74.mp4
75,SORDO,51815,52115,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_75.mp4
76,NO,52175,52645,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_76.mp4
80,PROPIO,54910,55380,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_80.mp4
88,IX1,60470,60900,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_88.mp4
90,IXloc ,63420,63470,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_90.mp4
92,IXloc ,65130,65200,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_92.mp4
94,IXloc ,68220,68350,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_94.mp4
96,VIVIR,69795,70365,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_96.mp4
97,IXloc,70460,70550,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_97.mp4
98,VIVIR,70615,70885,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_98.mp4
99,IX2,71188,71243,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_99.mp4
100,SABER,71255,71640,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_100.mp4
102,IX3-6,71840,73390,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_102.mp4
105,YA-VEO,84012,84312,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_105.mp4
106,IX1,85854,86024,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_106.mp4
108,IX1,86489,86969,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_108.mp4
110,IX1-Bd,89325,89435,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_110.mp4
111,NO,89619,89779,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_111.mp4
112,IX1,89849,89979,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_112.mp4
113,MADRE-2,90014,90594,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_113.mp4
114,IX3,90614,90724,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_114.mp4
116,MADRE-2,92029,92309,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_116.mp4
118,PASADO,92739,92999,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_118.mp4
119,JOVEN,93039,93219,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_119.mp4
120,EDAD,93309,93529,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_120.mp4
123,IX3,94344,94764,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_123.mp4
126,EDAD,96584,96724,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_126.mp4
128,IX1,97804,98034,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_128.mp4
129,EDAD,98089,98169,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_129.mp4
131,IX1,100004,100074,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_131.mp4
132,TRABAJO,100109,100599,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_132.mp4
134,TRABAJO,101269,101419,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_134.mp4
135,TRABAJO,101464,101574,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_135.mp4
136,IX1,101619,101779,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_136.mp4
137,MUCHO,102289,102669,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_137.mp4
139,TRABAJO,109379,109839,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_139.mp4
146,IX1,114604,114734,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_146.mp4
151,SEGURO,117439,117875,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_151.mp4
156,YA,121134,121484,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_156.mp4
157,APROXIMADAMENTE,121529,122329,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_157.mp4
161,APROXIMADAMENTE,124374,124914,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_161.mp4
163,APROXIMADAMENTE,126054,126334,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_163.mp4
166,ANTES,128029,128399,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_166.mp4
167,HABER-NO,128444,128984,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_167.mp4
172,ANTES,133364,133744,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_172.mp4
173,HABER-NO,133794,134114,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_173.mp4
174,AHORA,134174,134544,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_174.mp4
176,SIETE,135249,135679,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_176.mp4
178,DINERO,136204,136394,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_178.mp4
183,IX1,140664,140754,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_183.mp4
184,EDAD,140799,141019,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_184.mp4
186,REGULAR,142509,144549,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_186.mp4
187,DECIR1,144699,144869,EAF/T2.4-LSE-F04-1-20170915-1.eaf,F04,T2.4-LSE-F04-1-20170915-1.MP4,T2.4-LSE-F04-1-20170915-1.eaf_187.mp4
192,IX1,566,721,EAF/T2.4-LSE-F13-1-20171003-5.eaf,F13,T2.4-LSE-F13-1-20171003-5.MP4,T2.4-LSE-F13-1-20171003-5.eaf_192.mp4
193,NACER,764,1340,EAF/T2.4-LSE-F13-1-20171003-5.eaf,F13,T2.4-LSE-F13-1-20171003-5.MP4,T2.4-LSE-F13-1-20171003-5.eaf_193.mp4
194,SORDO,1606,1829,EAF/T2.4-LSE-F13-1-20171003-5.eaf,F13,T2.4-LSE-F13-1-20171003-5.MP4,T2.4-LSE-F13-1-20171003-5.eaf_194.mp4
196,HERMANO,2024,2397,EAF/T2.4-LSE-F13-1-20171003-5.eaf,F13,T2.4-LSE-F13-1-20171003-5.MP4,T2.4-LSE-F13-1-20171003-5.eaf_196.mp4
197,SORDO,3119,3346,EAF/T2.4-LSE-F13-1-20171003-5.eaf,F13,T2.4-LSE-F13-1-20171003-5.MP4,T2.4-LSE-F13-1-20171003-5.eaf_197.mp4
198,OYENTE,3348,3900,EAF/T2.4-LSE-F13-1-20171003-5.eaf,F13,T2.4-LSE-F13-1-20171003-5.MP4,T2.4-LSE-F13-1-20171003-5.eaf_198.mp4
199,LISTA-2,3900,4463,EAF/T2.4-LSE-F13-1-20171003-5.eaf,F13,T2.4-LSE-F13-1-20171003-5.MP4,T2.4-LSE-F13-1-20171003-5.eaf_199.mp4
200,IX1,4523,4629,EAF/T2.4-LSE-F13-1-20171003-5.eaf,F13,T2.4-LSE-F13-1-20171003-5.MP4,T2.4-LSE-F13-1-20171003-5.eaf_200.mp4
201,ULTIMO,4744,5060,EAF/T2.4-LSE-F13-1-20171003-5.eaf,F13,T2.4-LSE-F13-1-20171003-5.MP4,T2.4-LSE-F13-1-20171003-5.eaf_201.mp4
203,LISTA-2,5333,5742,EAF/T2.4-LSE-F13-1-20171003-5.eaf,F13,T2.4-LSE-F13-1-20171003-5.MP4,T2.4-LSE-F13-1-20171003-5.eaf_203.mp4
204,ULTIMO,5923,6177,EAF/T2.4-LSE-F13-1-20171003-5.eaf,F13,T2.4-LSE-F13-1-20171003-5.MP4,T2.4-LSE-F13-1-20171003-5.eaf_204.mp4
205,MADRE-2,6210,6602,EAF/T2.4-LSE-F13-1-20171003-5.eaf,F13,T2.4-LSE-F13-1-20171003-5.MP4,T2.4-LSE-F13-1-20171003-5.eaf_205.mp4
206,SORDO,6605,6998,EAF/T2.4-LSE-F13-1-20171003-5.eaf,F13,T2.4-LSE-F13-1-20171003-5.MP4,T2.4-LSE-F13-1-20171003-5.eaf_206.mp4
207,PADRE-2,7042,7396,EAF/T2.4-LSE-F13-1-20171003-5.eaf,F13,T2.4-LSE-F13-1-20171003-5.MP4,T2.4-LSE-F13-1-20171003-5.eaf_207.mp4
208,OYENTE,7403,7967,EAF/T2.4-LSE-F13-1-20171003-5.eaf,F13,T2.4-LSE-F13-1-20171003-5.MP4,T2.4-LSE-F13-1-20171003-5.eaf_208.mp4
209,IX1,8201,8378,EAF/T2.4-LSE-F13-1-20171003-5.eaf,F13,T2.4-LSE-F13-1-20171003-5.MP4,T2.4-LSE-F13-1-20171003-5.eaf_209.mp4
210,NACER,8468,8965,EAF/T2.4-LSE-F13-1-20171003-5.eaf,F13,T2.4-LSE-F13-1-20171003-5.MP4,T2.4-LSE-F13-1-20171003-5.eaf_210.mp4
212,PADRE_MADRE,9157,9710,EAF/T2.4-LSE-F13-1-20171003-5.eaf,F13,T2.4-LSE-F13-1-20171003-5.MP4,T2.4-LSE-F13-1-20171003-5.eaf_212.mp4
217,VIVIR,13998,14183,EAF/T2.4-LSE-F13-1-20171003-5.eaf,F13,T2.4-LSE-F13-1-20171003-5.MP4,T2.4-LSE-F13-1-20171003-5.eaf_217.mp4
224,NACER,17812,18071,EAF/T2.4-LSE-F13-1-20171003-5.eaf,F13,T2.4-LSE-F13-1-20171003-5.MP4,T2.4-LSE-F13-1-20171003-5.eaf_224.mp4
225,HERMANO,18082,18383,EAF/T2.4-LSE-F13-1-20171003-5.eaf,F13,T2.4-LSE-F13-1-20171003-5.MP4,T2.4-LSE-F13-1-20171003-5.eaf_225.mp4
226,IX1,18446,18546,EAF/T2.4-LSE-F13-1-20171003-5.eaf,F13,T2.4-LSE-F13-1-20171003-5.MP4,T2.4-LSE-F13-1-20171003-5.eaf_226.mp4
228,IXloc ,19087,19344,EAF/T2.4-LSE-F13-1-20171003-5.eaf,F13,T2.4-LSE-F13-1-20171003-5.MP4,T2.4-LSE-F13-1-20171003-5.eaf_228.mp4
229,NACER,19503,19773,EAF/T2.4-LSE-F13-1-20171003-5.eaf,F13,T2.4-LSE-F13-1-20171003-5.MP4,T2.4-LSE-F13-1-20171003-5.eaf_229.mp4
230,IXloc,19818,19953,EAF/T2.4-LSE-F13-1-20171003-5.eaf,F13,T2.4-LSE-F13-1-20171003-5.MP4,T2.4-LSE-F13-1-20171003-5.eaf_230.mp4
231,PUEBLO,19971,20274,EAF/T2.4-LSE-F13-1-20171003-5.eaf,F13,T2.4-LSE-F13-1-20171003-5.MP4,T2.4-LSE-F13-1-20171003-5.eaf_231.mp4
233,SIGNAR,20864,21080,EAF/T2.4-LSE-F13-1-20171003-5.eaf,F13,T2.4-LSE-F13-1-20171003-5.MP4,T2.4-LSE-F13-1-20171003-5.eaf_233.mp4
236,SIGNAR,22580,22789,EAF/T2.4-LSE-F13-1-20171003-5.eaf,F13,T2.4-LSE-F13-1-20171003-5.MP4,T2.4-LSE-F13-1-20171003-5.eaf_236.mp4
237,PERFECTO,22827,23286,EAF/T2.4-LSE-F13-1-20171003-5.eaf,F13,T2.4-LSE-F13-1-20171003-5.MP4,T2.4-LSE-F13-1-20171003-5.eaf_237.mp4
240,ENTENDER-rep,24507,24970,EAF/T2.4-LSE-F13-1-20171003-5.eaf,F13,T2.4-LSE-F13-1-20171003-5.MP4,T2.4-LSE-F13-1-20171003-5.eaf_240.mp4
241,OYENTE,25005,25174,EAF/T2.4-LSE-F13-1-20171003-5.eaf,F13,T2.4-LSE-F13-1-20171003-5.MP4,T2.4-LSE-F13-1-20171003-5.eaf_241.mp4
242,SORDO,25210,25451,EAF/T2.4-LSE-F13-1-20171003-5.eaf,F13,T2.4-LSE-F13-1-20171003-5.MP4,T2.4-LSE-F13-1-20171003-5.eaf_242.mp4
243,ENTENDER-rep,25493,25846,EAF/T2.4-LSE-F13-1-20171003-5.eaf,F13,T2.4-LSE-F13-1-20171003-5.MP4,T2.4-LSE-F13-1-20171003-5.eaf_243.mp4
244,IX1,26184,26417,EAF/T2.4-LSE-F13-1-20171003-5.eaf,F13,T2.4-LSE-F13-1-20171003-5.MP4,T2.4-LSE-F13-1-20171003-5.eaf_244.mp4
246,UNO,26725,26873,EAF/T2.4-LSE-F13-1-20171003-5.eaf,F13,T2.4-LSE-F13-1-20171003-5.MP4,T2.4-LSE-F13-1-20171003-5.eaf_246.mp4
247,ULTIMO,26877,27161,EAF/T2.4-LSE-F13-1-20171003-5.eaf,F13,T2.4-LSE-F13-1-20171003-5.MP4,T2.4-LSE-F13-1-20171003-5.eaf_247.mp4
248,LISTA-2,27246,27404,EAF/T2.4-LSE-F13-1-20171003-5.eaf,F13,T2.4-LSE-F13-1-20171003-5.MP4,T2.4-LSE-F13-1-20171003-5.eaf_248.mp4
249,PADRE_MADRE,27487,28064,EAF/T2.4-LSE-F13-1-20171003-5.eaf,F13,T2.4-LSE-F13-1-20171003-5.MP4,T2.4-LSE-F13-1-20171003-5.eaf_249.mp4
252,PUEBLO,29163,29781,EAF/T2.4-LSE-F13-1-20171003-5.eaf,F13,T2.4-LSE-F13-1-20171003-5.MP4,T2.4-LSE-F13-1-20171003-5.eaf_252.mp4
